INFORMCION GENERAL,,,,,,,,,,DATOS DEL PROPIETARIO,CARACTERISTICAS,,,,,,,,,,,,,SITUACION ,,,,,,,,,,,,,
NO. DE EXPEDIENTE,TIPO AERÓDROMO,DESIGNADOR,NOMBRE,ESTADO,MUNICIPIO,TIPO DE OPERACIÓN,TIPO DE SERVICIO,CLASIFICACION,CLAVE DE REFERENCIA,NOMBRE,ELEV (M),SISTEMA,"LATITUD
°","LATITUD
'","LATITUD
''","LONGITUD
°","LONGITUD
'","LONGITUD
''",ORIENTACION 1A,ORIENTACION 2A,LONGITUD DE PISTA A,ANCHO DE PISTA A,TIPO DE SUPERFICIE A,FECHA DE EXPEDICIÓN,DURACIÓN DEL PERMISO/  AUTORIZACIÓN,FECHA DE  VENCIMIENTO,MES,AÑO,¿VIGENTE?,SITUACIÓN,AEROPUERTO DE CORDINACIÓN,,,,,,
HP 051,HELIPUERTO,AKA,CASA ACAPULCO,GUERRERO,ACAPULCO DE JUÁREZ,DIURNO,SERVICIO PARTICULAR,TERRESTRE,H-1,"GOBIERNO DEL ESTADO DE GUERRERO, SECRETARIA DE DESARROLLO URBANO Y OBRAS PUBLICAS",40.00,,16,48,30.00,99,50,20.00,,,,,,SIN AUTORIZACIÓN,,SIN AUTORIZACIÓN,SEP,2010,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE ACAPULCO, GUERRERO",,,,,,
SP 052,AERÓDROMO,AFM,PALO VERDE ANTES AERO FUMIGACIONES MARATU,SINALOA,CULIACAN,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,C. CIDNEY AARON OLIVAS MEDINA,6.00,WGS-84,24,28,41.00,107,24,28.00,,,700.00,9.00,ASFALTO,30/09/2020,15 AÑOS,30/09/2035,SEP,2035,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CULIACAN, SINALOA",,,,,,
SP 053,AERÓDROMO,RAV,C.P.A. RODOLFO AMPARAN ROSALES       ,CHIHUAHUA,ALDAMA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,RODOLFO CRISTO AMPARAN FRIAS,"1,254.00",WGS-84,28,51,19.52,105,52,48.12,15,33,"1,200.00",30.00,TERRACERÍA,05/11/2021,15 AÑOS,05/11/2036,NOV,2036,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CHIHUAHUA, CHIHUAHUA",,,,,,
SP 054,AERÓDROMO,MCB,"MANJARREZ DE CABORCA ""CAP. RAUL BUENTELLO""",SONORA,CABORCA,DIURNO,SERVICIO PARTICULAR Y A TERCEROS,TERRESTRE,1-A,BLANCA IRENE BUENTELLO LEÓN,255.00,WGS-84,30,42,6.00,112,13,27.00,6,24,"2,000.00",57.00,TERRACERÍA,05/01/2023,15 AÑOS,05/01/2038,DIC,2038,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE NOGALES, SONORA",,,,,,
SP 055,AERÓDROMO,JRS,LAS CRUCES,SINALOA,GUASAVE,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,JESUS RAMON SANCHEZ SANCHEZ,30.00,WGS-84,25,34,46.20,108,24,58.80,9,27,550.00,30.00,TERRACERÍA,03/03/2006,5 AÑOS,03/03/2011,MAR,2011,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LOS MOCHIS, SINALOA",,,,,,
SP 056,AERÓDROMO,LCD,LA CANDELARIA BORDERS,COAHUILA,GUERRERO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,BORDERS MELON S.P.R. DE R.L.,NO DISPONIBLE,,28,20,34.50,100,30.00,19.17,NO DISPONIBLE,NO DISPONIBLE,NO DISPONIBLE,NO DISPONIBLE,TERRACERÍA,SIN AUTORIZACIÓN,,SIN AUTORIZACIÓN,,2010,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE PIEDRAS NEGRAS, COAHUILA",,,,,,
HP 057,HELIPUERTO,,PLAZA INSURGENTES SUR (4),CIUDAD DE MÉXICO,ALVARO OBREGON,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"PLAZA INSURGENTES, S.A. DE C.V.","2,372.00",,19,21,3.70,99,11,11.80,,,,,,30/04/2003,5 AÑOS,30/04/2008,ABR,2008,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
SP 058,AERÓDROMO,LCI,LA CARIDAD,SONORA,NACOZARI,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-B,"MEXICANA DE COBRE, S.A. DE C.V.","1,452.00",WGS-84,30,28,57.21,109,38,40.18,15,33,"2,500.00",30.00,ASFALTO,09/12/2013,15 AÑOS,19/12/2028,DIC,2028,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE NOGALES, SONORA",,,,,,
SP 059,AERÓDROMO,PCL,PUNTA COLORADA,BAJA CALIFORNIA SUR,LOS CABOS,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"HOTEL PUNTA COLORADA, S.A.",11.00,WGS-84,23,34,30.82,109,32,9.12,18,36,700.00,25.00,TERRACERÍA,04/10/2023,15 AÑOS,04/10/2038,OCT,2038,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE LOS CABOS, BAJA CALIFORNIA SUR",,,,,,
SP 060,AERÓDROMO,JGY,EL JAGUEY,GUANAJUATO,DOLORES HIDALGO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,TOMAS GARZA VALDEZ                    ,"1,986.00",WGS-84,21,13,52.12,100,50,9.35,5,23,760.00,20.00,TERRACERÍA,22/10/2014,15 AÑOS,22/10/2029,OCT,2029,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE GUANAJUATO, GUANAJUATO",,,,,,
SP 061,AERÓDROMO,PCT,PUNTA COLONET,BAJA CALIFORNIA,ENSENADA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,AGRICOLA COLONET S.A DE C.V,NO DISPONIBLE,WGS-84,30,57,22.19,116,14,4.97,11,29,"1,200.00",25.00,TERRACERÍA,27/07/2011,180 DIAS,27/01/2012,ENE,2012,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE TIJUANA, BAJA CALIFORNIA",,,,,,
SP 062,AERÓDROMO,LBH,LOMA BLANCA,MICHOACÁN,TEPALCATEPEC,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,FRANCISCO JAVIER ALVAREZ RAMIREZ,300.00,WGS-84,19,4,28.00,102,47,56.00,7,25,510.00,15.00,TERRACERÍA,14/03/2018,15 AÑOS,14/03/2033,MAR,2033,SI,VIGENTE,"AEROPUERTO DE URUAPAN, MICHOACAN",,,,,,
SP 063,AERÓDROMO,SCE,SANTA CECILIA,COAHUILA,ZARAGOZA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,3-B,"COMPAÑÍA GANADERA SANTA CECILIA, S.A. DE C.V.",610.00,NAD 27,28,23,49.00,101,16,3.00,12,30,"2,200.00",45.00,TERRACERÍA,21/08/2006,5 AÑOS,21/08/2011,AGO,2011,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE PIEDRAS NEGRAS, COAHUILA",,,,,,
SP 065,AERÓDROMO,RPX,RANCHO PROVIDENCIA,CHIHUAHUA,VILLA AHUMADA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-B,RICARDO FUENTES VARELA,"1,250.00",WGS-84,30,17,40.00,106,45,5.70,18,36,"1,000.00",25.00,TERRACERÍA,14/12/2010,5 AÑOS,14/12/2015,DIC,2015,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CIUDAD JUAREZ, CHIHUAHUA",,,,,,
HP 066,HELIPUERTO,HLO,TERRACOTA CIEN,CIUDAD DE MÉXICO,CUAJIMALPA,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"DESARROLLOS TOTOLAPA, S.A. DE C.V.","2,686.10",WGS-84,19,21,31.38,99,16,33.86,,,,,,23/01/2019,180 DIAS ,23/06/2019,JUN,2019,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
HP 067,HELIPUERTO,HGN,TORRE GAN,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"ANTAIR, S.A. DE C.V.","2,302.00",WGS-84,19,25,41.76,99,10,51.09,,,,,,25/02/2015,15 AÑOS,25/02/2030,FEB,2030,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
SP 068,AERÓDROMO,NLH,NO LE HACE,TAMAULIPAS,SAN FERNANDO,DIURNO,SERVICIO PARTICULAR Y A TERCEROS,TERRESTRE,2-B,"AVENTURAS MEXICANAS,S.A. DE C.V. ",16.00,WGS-84,24,47,6.07,97,55,43.46,15,33,"1,250.00",15.00,ASFALTO,25/11/2019,15 AÑOS,25/11/2034,NOV,2034,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE MATAMOROS, TAMAULIPAS",,,,,,
HP 069,HELIPUERTO,HVF,PUNTO CENTRAL,NUEVO LEÓN,SAN PEDRO GARZA GARCIA,DIURNO,SERVICIO PARTICULAR,SUPERFICIE,H-1,AEROSERVICIOS  TÉCNICOS REGIOMONTANOS S.A. DE C.V.,632.00,WGS-84,25,38,46.00,100,21,16.70,,,,,,12/02/2018,180 DIAS,12/08/2018,NOV,2018,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE MONTERREY, NUEVO LEON",,,,,,
SP 070,AERÓDROMO,MAX,MIGUEL ALEMAN,CHIAPAS,COMITAN,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"SERVICIOS AEREOS SAN CRISTOBAL, S. A. DE C. V.","1,578.00",WGS-84,16,12,57.88,92,6,50.71,5,23,900.00,15.00,TERRACERÍA,04/05/2016,5 AÑOS,01/01/2021,ENE,2021,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE TUXTLA GUTIERREZ, CHIAPAS",,,,,,
SP 071,AERÓDROMO,PDI,PALOS DULCES,SINALOA,GUASAVE,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"AEROFUMIGACIONES AGRICOLAS KEBAGA, S.A. DE C.V.",15.00,WGS-84,25,32,16.10,108,29,28.10,2,20,800.00,8.00,TERRACERÍA,SIN AUTORIZACIÓN,,SIN AUTORIZACIÓN,FEB,2003,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LOS MOCHIS, SINALOA",,,,,,
SP 072,AERÓDROMO,EFO,EL FORTIN,COAHUILA,SAN BUENAVENTURA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"JESUS MARIA RAMON VALDES (DEFUNCION) / EL FORTIN HOLDING, S.A.PI. DE C.V.     ","1,050.00",WGS-84,27,58,55.00,102,5,40.02,17,35,"1,540.00",18.00,PAVIMENTO FLEXIBLE,23/12/2019,15 AÑOS,23/12/2034,DIC,2034,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE MONCLOVA, COAHUILA",,,,,,
SP 073,AERÓDROMO,RMK,"RANCHO MEDIO KILO
(Proceso de Terminación a solicitud de Permisionario)",AGUASCALIENTES,JESUS GOMEZ PORTUGAL DE SAN FRANCISCO DE LOS ROMOS,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,ING. FELIPE ARTEAGA NIEPMAN,"1,906.00",WGS-84,21,59,58.00,102,16,19.00,7,25,"1,300.00",15.00,TERRACERÍA,01/10/2008,5 AÑOS,01/10/2013,OCT,2013,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE AGUASCALIENTES, AGUASCALIENTES",,,,,,
SP 074,AERÓDROMO,LCS,LAS CRUCES,BAJA CALIFORNIA SUR,LA PAZ,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"LAS CRUCES, S. DE R.L. DE C.V.",6.50,NAD 27,24,12,22.00,110,5,7.00,1,19,850.00,27.00,TERRACERÍA,19/10/2017,15 AÑOS,19/10/2032,OCT,2032,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE LA PAZ, BAJA CALIFORNIA SUR",,,,,,
SP 075,AERÓDROMO,JDN,EL JARDIN,COAHUILA,OCAMPO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-B,"RESERVAS ECOLÓGICAS SUSTENTABLES LA LAGUNA, S.A. DE C.V.","1,234.00",WGS-84,29,10,25.70,102,35,6.40,18,36,"1,500.00",23.00,TERRACERÍA,06/06/2013,5 AÑOS,06/06/2018,JUN,2018,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE MONCLOVA, COAHUILA",,,,,,
SP 076,AERÓDROMO,LAJ,LA JOYA,COAHUILA,TORREON,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,FERNANDO LEIJA PEREZ GALLARDO,"1,118.00",,25,32,10.00,103,19,45.00,8,26,700.00,20.00,ASFALTO,25/03/2009,180 DIAS,25/11/2009,NOV,2009,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE TORREON, COAHUILA",,,,,,
SP 077,AERÓDROMO,RGP,GUADALUPE,COAHUILA,ARTEAGA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"DESARROLLO AGROINDUSTRIAL DEL NORTE, S. DE .P.R. DE R.L.","2,026.00",NAD 27,25,11,11.00,100,46,16.00,2,20,606.00,20.00,TERRACERÍA,24/01/2002,90 DÍAS,SIN AUTORIZACIÓN,ABR,2002,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL ""PLAN DE GUADALUPE"" DE RAMOS ARIZPE, COAH.",,,,,,
SP 078,AERÓDROMO,APS,MIELERAS,COAHUILA,TORREON,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"ASOCIACION DE PILOTOS AVIADORES Y PROPIETARIOS DE AVIONES FUMIGADORES DE LA REGION LAGUNERA, A.C.","1,130.00",WGS-84,25,28,6.25,103,21,4.90,8,26,750.00,15.00,ASFALTO,01/12/2010,180 DIAS,01/06/2011,JUN,2011,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE TORREON, COAHUILA",,,,,,
SP 079,AERÓDROMO,CNG,CIENEGA DE LOS ACOSTA,CHIHUAHUA,GUADALUPE Y CALVO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,LAZARO ACOSTA DE LA ROCHA,NO DISPONIBLE,NAD 27,27,7,0.00,107,8,0.00,,,500.00,10.00,TERRACERÍA,22/06/2010,180 DIAS,22/12/2010,DIC,2010,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CHIHUAHUA, CHIHUAHUA",,,,,,
SP 080,AERÓDROMO,BCM,EL BAZTAN,MICHOACÁN,HUETAMO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"COMPAÑÍA MINERA EL BAZTAN, S.A. DE C.V.",310.00,WGS-84,18,44,27.00,101,9,45.00,15,33,700.00,25.00,TERRACERÍA,08/03/2017,15 AÑOS,01/01/2032,ENE,2032,SI,VIGENTE,"AEROPUERTO DE MORELIA, MICHOACAN",,,,,,
SP 081,AERÓDROMO,NAG,NIDO DE AGUILAS,TAMAULIPAS,SOTO LA MARINA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,TAMMY DOROTEA WILEY DENNISTON,30.00,NAD 27,23,49,28.02,98,10,42.78,18,36,734.00,40.00,TERRACERÍA,05/06/2007,180 DIAS,05/12/2007,FEB,2010,NO,INOPERATIVO,"AEROPUERTO DE CIUDAD VICTORIA, TAMAULIPAS",,,,,,
SP 082,AERÓDROMO,AHO,EL AHIJADERO,VERACRUZ,TLALIXCOYAN,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,MARINA COLLADO TASSINARI,30.00,WGS-84,18,45,12.97,96,11,50.31,17,35,650.00,12.00,TERRACERIA,13/07/2021,15 AÑOS ,13/07/2036,JUL,2036,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE VERACRUZ, VERACRUZ",,,,,,
SP 083,AERÓDROMO,RMA,MANANTIALES,TAMAULIPAS,GONZALEZ,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"GRUPO AGRO INDUSTRIAL ARIAS, S.A. DE C.V.",241.00,WGS-84,22,57,11.90,98,24,44.10,15,33,"1,130.00",25.00,TERRACERÍA,28/02/2014,15 AÑOS,28/02/2029,FEB,2029,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE TAMPICO, TAMAULIPAS",,,,,,
SP 084,AERÓDROMO,RHZ,RANCHO LAS HERMANAS,COAHUILA,ZARAGOZA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,ARIEL RODRIGUEZ GARZA,740.00,NAD 27,28,35,27.00,101,36,48.00,13,31,"1,200.00",18.00,TERRACERÍA,30/06/2009,5 AÑOS,30/06/2014,JUN,2014,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE PIEDRAS NEGRAS, COAHUILA",,,,,,
SP 085,AERÓDROMO,BAU,BABUNICA,SINALOA,BABUNICA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,BONIFACIO OSORIO QUINTERO,700.00,,25,33,4.80,107,17,56.40,5,23,900.00,30.00,TERRACERÍA,13/01/1998,60 DÍAS,SIN AUTORIZACIÓN,ABR,1998,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CULIACAN, SINALOA",,,,,,
SP 086,AERÓDROMO,CGB,RINCON DE MARIA,COAHUILA,MELCHOR MUZQUIZ,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,CRISTOPHER GOLDSBURY BARCLAY JR.,853.00,WGS-84,28,33,30.00,102,3,54.90,10,28,"1,500.00",20.00,ASFALTO,24/07/2017,15 AÑOS,24/07/2032,JUL,2032,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE PIEDRAS NEGRAS, COAHUILA",,,,,,
SP 087,AERÓDROMO,ALG,ALGODONERA DE TAPACHULA,CHIAPAS,TAPACHULA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"SOCIEDAD DE PRODUCCION RURAL DE RESPONSABILIDAD.ILIMITADA             ""FRUTAS ASAKE""",40.00,WGS-84,14,49,21.05,92,19,59.51,4,22,700.00,20.00,TERRACERÍA,15/10/2009,5 AÑOS,15/10/2014,OCT,2014,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE TAPACHULA, CHIAPAS",,,,,,
HP 088,HELIPUERTO,,PLAYA MUJERES RESORT,QUINTANA ROO,ISLA MUJERES,DIURNO,SERVICIO PARTICULAR,SUPERFICIE,H-1,"DESARROLLOS QUINTANA ROO, S.A. DE C.V.",11.00,WGS-84,21,14,21.00,86,48,20.00,,,,,,24/09/2009,180 DIAS,24/03/2010,MAR,2010,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CANCUN, QUINTANA ROO",,,,,,
SP 089,AERÓDROMO,NHL,"NAHUAL
(PISTA DEL ESTERO DE JUAN JOSE RIOS)",SINALOA,AHOME,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,JUAN JOSE LEON OSORNO,10.00,NAD 27,25,46,9.00,108,49,56.00,7,25,500.00,13.40,TERRACERÍA,04/12/2009,5 AÑOS,04/12/2014,DIC,2014,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LOS MOCHIS, SINALOA",,,,,,
HP 090,HELIPUERTO,HHL,HUMBERTO LOBO MORALES,NUEVO LEÓN,GARZA GARCIA,DIURNO,SERVICIO PARTICULAR,SUPERFICIE,H-1,MARIA IRMA DE LA GARZA HERRERA,646.00,WGS-84,25,38,34.62,100,21,35.88,,,,,,08/11/2023,15 AÑOS,08/11/2038,NOV,2038,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DEL NORTE, NUEVO LEON",,,,,,
SP 091,AERÓDROMO,FFV,FERTILIZANTES Y FUMIGACIONES DEL VALLE ,CHIHUAHUA,CUAUHTÉMOC,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"FERTILIZANTES Y FUMIGACIONES DEL VALLE, S.A. DE C.V.","2,000.00",NAD 27,28,42,53.00,106,54,42.00,9,27,800.00,23.00,TERRACERÍA,06/07/2001,30 DÍAS,SIN AUTORIZACIÓN,AGO,2001,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CHIHUAHUA, CHIHUAHUA",,,,,,
SP 093,AERÓDROMO,SRJ,SAN RAFAEL,SINALOA,CULIACAN,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"SAN RAFAEL AGRICULTORES, S.A. DE C.V.",20.00,NAD 27,24,38,37.00,107,25,30.50,9,27,700.00,25.00,TERRACERÍA,08/08/2007,5 AÑOS,08/08/2012,AGO,2012,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CULIACAN, SINALOA",,,,,,
SP 094,AERÓDROMO,CJM,JIMENEZ,CHIHUAHUA,JIMÉNEZ,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,C.P.A. JORGE ENRIQUE ABES VILLEGAS                ,"1,150.00",WGS-84,27,8,35.00,104,56,28.00,15,33,"1,650.00",40.00,ASFALTO,01/10/2015,15 AÑOS,01/10/2030,OCT,2030,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CHIHUAHUA, CHIHUAHUA",,,,,,
SP 095,AERÓDROMO,MCI,PISTA MUNICIPAL DE CIUDAD CUAUHTEMOC,CHIHUAHUA,CUSIHUIRIACHI,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,H. AYUNTAMIENTO CONSTITUCIONAL DE CUSIHUIRIACHI,"2,090.00",NAD 27,28,21,45.50,106,52,56.10,,,,,TERRACERÍA,SIN AUTORIZACIÓN,,SIN AUTORIZACIÓN,NOV,2000,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CHIHUAHUA, CHIHUAHUA",,,,,,
HP 096,HELIPUERTO,HCR,PARQUE REFORMA,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,CONDOMINIO PARQUE REFORMA,"2,330.00",NAD 27,19,23,37.40,99,14,21.00,,,,,,19/09/2019,15 AÑOS,19/09/2034,SEP,2034,SI ,VIGENTE,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
SP 097,AERÓDROMO,PNY,HACIENDA PANOAYA,ESTADO DE MEXICO,AMECAMECA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,HACIENDA PANOAYA S.A. DE C.V.,"2,473.00",WGS-84,19,8,32.63,98,46,5.10,7,25,250,30,TERRACERÍA,15/06/2012,180 DIAS,15/12/2012,DIC,2012,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
HP 098,HELIPUERTO,HPI,PUEBLA INVERSIONISTA,CIUDAD DE MÉXICO,MAGDALENA CONTRERAS,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"PUEBLA INVERSIONISTA, S.A. DE C.V.","2,360.00",WGS-84,19,19,46.88,99,12,50.94,,,,,,07/06/2018,15 AÑOS,07/06/2033,JUN,2033,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
HP 099,HELIPUERTO,HMD,MILENIO DIARIO antes NOVEDADES EDITORES,CIUDAD DE MÉXICO,CUAUHTÉMOC,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"MILENIO DIARIO, S.A. DE C.V.","2,256.00",NAD 27,19,25,53.00,99,8,54.00,,,,,,22/05/2019,15 AÑOS,22/05/2034,MAY,2034,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
SP 100,AERÓDROMO,MAV,MALVINAS,TAMAULIPAS,TAMPICO ,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,MALVINAS S.A. DE C.V.,10.00,WGS-84,22,41,13.40,97,55,45.80,13,31,580.00,10.00,PASTO,10/02/2017,180 DIAS,10/08/2017,AGO,2017,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE TAMPICO, TAMAULIPAS",,,,,,
SP 101,AERÓDROMO,RLZ,EL LLORON,CHIHUAHUA,GUADALUPE,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,LUIS M. VILLARREAL ALMANZA             ,"1,560.00",WGS-84,30,41,34.00,105,30,6.00,3,21,930.00,20.00,TERRACERÍA,15/04/2005,5 AÑOS,15/04/2010,ABR,2010,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CHIHUAHUA, CHIHUAHUA",,,,,,
SP 102,AERÓDROMO,GMO,CLUB AERODEPORTE DE MAZATLAN,SINALOA,MAZATLÁN,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"CLUB AERODEPORTE DE MAZATLAN, A.C.",15.00,,23,27,40.00,106,32,30.00,9,27,260.00,30.00,TERRACERÍA,28/09/2004,180 DIAS,28/03/2005,MAR,2005,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE MAZATLAN, SINALOA",,,,,,
HP 103,HELIPUERTO,HPM,TORRE EJECUTIVA PEMEX,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO Y NOCTURNO,SERVICIO PARTICULAR,ELEVADO,H-1,PETROLEOS MEXICANOS PEMEX,"2,460.00",WGS-84,19,26,20.74,99,10,29.43,,,,,,06/03/2015,30 AÑOS,06/03/2045,MAR,2045,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
SP 104,AERÓDROMO,ALX,ALIZAL,DURANGO,TAMAZULA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,RIGOBERTO RIOS CASTILOS,"2,391.00",WGS-84,25,27,13.75,106,55,15.93,1,19,720.00,10.00,TERRACERÍA,21/01/2020,15 AÑOS,21/01/2035,ENE,2035,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CULIACAN, SINALOA",,,,,,
SP 105,AERÓDROMO,PTA,LAS POTRANCAS,TAMAULIPAS,VILLA ALDAMA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,FELIX CANTU AGUILAR,245.00,WGS-84,23,2,32.50,98,9,8.60,2,20,"1,600.00",30.00,ASFALTO,06/09/2018,15 AÑOS,06/09/2033,SEP,2033,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE TAMPICO, TAMAULIPAS",,,,,,
SP 106,AERÓDROMO,FRR antes CHX,JOSE ANGEL  ESPINOZA FERRUSQUILLA,SINALOA,CHOIX,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,H. AYUNTAMIENTO DE CHOIX,240.00,WGS-84,26,43,12.00,108,19,56.00,10,28,"1,440.00",8.00,ASFALTO,26/11/2013,180 DIAS,26/05/2014,MAY,2014,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LOS MOCHIS, SINALOA",,,,,,
HP 107,HELIPUERTO,HRE,CAMINO REAL MONTERREY,NUEVO LEÓN,MONTERREY,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"CAMINO REAL MONTERREY, S.A. DE C.V.",693.00,WGS-84,25,39,1.30,100,20,5.10,,,,,,24/09/2019,15 AÑOS,24/09/2034,SEP,2034,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE MONTERREY, NUEVO LEON",,,,,,
